Date,Open,High,Low,Close,Adj_Close,Volume,Stock,Daily_Return,MA30
2015-05-24,238.98,241.98,238.81,240.95,240.95,11508000, AAPL ,0.8243367645828099,235.34233333333336
2015-05-25,240.93,241.02,236.64,237.11,237.11,14423900, AAPL ,-1.5855227659486129,235.69966666666667
2015-05-26,237.1,238.24,235.69,237.12,237.12,16425000, AAPL ,0.00843525938423038,236.28933333333333
2015-05-27,237.07,238.64,236.7,237.28,237.28,18837000, AAPL ,0.08858143164466527,236.55566666666667
2015-05-28,237.26,237.82,236.65,237.41,237.41,13829600, AAPL ,0.06322178201129802,236.941
2015-05-29,237.38,237.52,235.73,237.1,237.1,14805000, AAPL ,-0.11795433482180517,237.31733333333332
2015-05-30,237.09,237.09,232.05,233.35,233.35,14098600, AAPL ,-1.577460036273149,237.22400000000002
2015-05-31,233.13,233.25,229.54,230.19,230.19,14730800, AAPL ,-1.2610989576631055,237.161
2015-06-01,230.23,231.71,221.3,222.93,222.93,26090500, AAPL ,-3.1707423011770763,236.761
2015-06-02,222.89,226.42,222.42,225.8,225.8,20459000, AAPL ,1.3055767418906299,236.2756666666667
2015-06-03,225.74,227.4,223.93,225.87,225.87,17752400, AAPL ,0.05758837600779456,235.83733333333333
2015-06-04,225.77,226.58,224.05,224.32,224.32,14728100, AAPL ,-0.6422465340833667,235.444
2015-06-05,224.15,225.97,223.18,224.95,224.95,18056500, AAPL ,0.35690385902296806,235.283
2015-06-06,225.01,225.72,224.38,225.62,225.62,11131500, AAPL ,0.27109906226390545,234.89266666666668
2015-06-07,225.6,226.19,222.65,222.88,222.88,13318400, AAPL ,-1.2056737588652477,234.1933333333333
